U.S. Regular All Formulations Retail Gasoline Prices,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMR_PTE_NUS_DPG&f=M,
14:39:15 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,U.S. Regular All Formulations Retail Gasoline Prices Dollars per Gallon
Apr-22,4.109
Mar-22,4.222
Feb-22,3.517
Jan-22,3.315
Dec-21,3.307
Nov-21,3.395
Oct-21,3.291
Sep-21,3.175
Aug-21,3.158
Jul-21,3.136
Jun-21,3.064
May-21,2.985
Apr-21,2.858
Mar-21,2.81
Feb-21,2.501
Jan-21,2.334
Dec-20,2.195
Nov-20,2.108
Oct-20,2.158
Sep-20,2.183
Aug-20,2.182
Jul-20,2.183
Jun-20,2.082
May-20,1.87
Apr-20,1.841
Mar-20,2.234
Feb-20,2.442
Jan-20,2.548
Dec-19,2.555
Nov-19,2.598
Oct-19,2.627
Sep-19,2.592
Aug-19,2.621
Jul-19,2.74
Jun-19,2.716
May-19,2.859
Apr-19,2.798
Mar-19,2.516
Feb-19,2.309
Jan-19,2.248
Dec-18,2.366
Nov-18,2.647
Oct-18,2.86
Sep-18,2.836
Aug-18,2.836
Jul-18,2.849
Jun-18,2.891
May-18,2.901
Apr-18,2.757
Mar-18,2.591
Feb-18,2.587
Jan-18,2.555
Dec-17,2.477
Nov-17,2.564
Oct-17,2.505
Sep-17,2.645
Aug-17,2.38
Jul-17,2.3
Jun-17,2.347
May-17,2.391
Apr-17,2.417
Mar-17,2.325
Feb-17,2.304
Jan-17,2.349
Dec-16,2.254
Nov-16,2.182
Oct-16,2.249
Sep-16,2.219
Aug-16,2.178
Jul-16,2.239
Jun-16,2.366
May-16,2.268
Apr-16,2.113
Mar-16,1.969
Feb-16,1.764
Jan-16,1.949
Dec-15,2.038
Nov-15,2.158
Oct-15,2.29
Sep-15,2.365
Aug-15,2.636
Jul-15,2.794
Jun-15,2.802
May-15,2.718
Apr-15,2.469
Mar-15,2.464
Feb-15,2.216
Jan-15,2.116
Dec-14,2.543
Nov-14,2.912
Oct-14,3.171
Sep-14,3.406
Aug-14,3.487
Jul-14,3.611
Jun-14,3.692
May-14,3.673
Apr-14,3.661
Mar-14,3.533
Feb-14,3.356
Jan-14,3.313
Dec-13,3.276
Nov-13,3.243
Oct-13,3.344
Sep-13,3.532
Aug-13,3.574
Jul-13,3.591
Jun-13,3.626
May-13,3.615
Apr-13,3.57
Mar-13,3.711
Feb-13,3.67
Jan-13,3.319
Dec-12,3.31
Nov-12,3.452
Oct-12,3.746
Sep-12,3.849
Aug-12,3.722
Jul-12,3.439
Jun-12,3.539
May-12,3.732
Apr-12,3.9
Mar-12,3.852
Feb-12,3.579
Jan-12,3.38
Dec-11,3.266
Nov-11,3.384
Oct-11,3.448
Sep-11,3.611
Aug-11,3.639
Jul-11,3.65
Jun-11,3.68
May-11,3.906
Apr-11,3.8
Mar-11,3.561
Feb-11,3.211
Jan-11,3.095
Dec-10,2.993
Nov-10,2.859
Oct-10,2.801
Sep-10,2.705
Aug-10,2.73
Jul-10,2.729
Jun-10,2.732
May-10,2.836
Apr-10,2.848
Mar-10,2.772
Feb-10,2.644
Jan-10,2.715
Dec-09,2.607
Nov-09,2.651
Oct-09,2.551
Sep-09,2.554
Aug-09,2.616
Jul-09,2.527
Jun-09,2.631
May-09,2.266
Apr-09,2.049
Mar-09,1.959
Feb-09,1.923
Jan-09,1.788
Dec-08,1.687
Nov-08,2.147
Oct-08,3.051
Sep-08,3.703
Aug-08,3.779
Jul-08,4.062
Jun-08,4.054
May-08,3.766
Apr-08,3.458
Mar-08,3.244
Feb-08,3.028
Jan-08,3.043
Dec-07,3.018
Nov-07,3.08
Oct-07,2.803
Sep-07,2.803
Aug-07,2.786
Jul-07,2.965
Jun-07,3.056
May-07,3.146
Apr-07,2.845
Mar-07,2.563
Feb-07,2.278
Jan-07,2.24
Dec-06,2.313
Nov-06,2.229
Oct-06,2.245
Sep-06,2.555
Aug-06,2.952
Jul-06,2.981
Jun-06,2.885
May-06,2.907
Apr-06,2.742
Mar-06,2.425
Feb-06,2.28
Jan-06,2.316
Dec-05,2.185
Nov-05,2.257
Oct-05,2.717
Sep-05,2.903
Aug-05,2.486
Jul-05,2.29
Jun-05,2.156
May-05,2.161
Apr-05,2.243
Mar-05,2.079
Feb-05,1.91
Jan-05,1.831
Dec-04,1.841
Nov-04,1.979
Oct-04,2
Sep-04,1.87
Aug-04,1.878
Jul-04,1.911
Jun-04,1.969
May-04,1.983
Apr-04,1.798
Mar-04,1.736
Feb-04,1.648
Jan-04,1.572
Dec-03,1.479
Nov-03,1.512
Oct-03,1.564
Sep-03,1.679
Aug-03,1.62
Jul-03,1.513
Jun-03,1.493
May-03,1.497
Apr-03,1.589
Mar-03,1.693
Feb-03,1.613
Jan-03,1.458
Dec-02,1.386
Nov-02,1.419
Oct-02,1.445
Sep-02,1.4
Aug-02,1.396
Jul-02,1.397
Jun-02,1.382
May-02,1.392
Apr-02,1.397
Mar-02,1.249
Feb-02,1.114
Jan-02,1.107
Dec-01,1.086
Nov-01,1.171
Oct-01,1.315
Sep-01,1.522
Aug-01,1.421
Jul-01,1.421
Jun-01,1.616
May-01,1.702
Apr-01,1.552
Mar-01,1.409
Feb-01,1.45
Jan-01,1.447
Dec-00,1.443
Nov-00,1.517
Oct-00,1.532
Sep-00,1.55
Aug-00,1.465
Jul-00,1.551
Jun-00,1.633
May-00,1.487
Apr-00,1.465
Mar-00,1.516
Feb-00,1.377
Jan-00,1.289
Dec-99,1.273
Nov-99,1.251
Oct-99,1.244
Sep-99,1.256
Aug-99,1.221
Jul-99,1.158
Jun-99,1.114
May-99,1.131
Apr-99,1.131
Mar-99,0.982
Feb-99,0.921
Jan-99,0.939
Dec-98,0.945
Nov-98,0.995
Oct-98,1.019
Sep-98,1.009
Aug-98,1.026
Jul-98,1.055
Jun-98,1.064
May-98,1.064
Apr-98,1.03
Mar-98,1.017
Feb-98,1.049
Jan-98,1.086
Dec-97,1.131
Nov-97,1.171
Oct-97,1.197
Sep-97,1.231
Aug-97,1.224
Jul-97,1.174
Jun-97,1.198
May-97,1.2
Apr-97,1.199
Mar-97,1.205
Feb-97,1.23
Jan-97,1.236
Dec-96,1.235
Nov-96,1.232
Oct-96,1.204
Sep-96,1.202
Aug-96,1.207
Jul-96,1.227
Jun-96,1.256
May-96,1.279
Apr-96,1.231
Mar-96,1.137
Feb-96,1.089
Jan-96,1.09
Dec-95,1.071
Nov-95,1.062
Oct-95,1.087
Sep-95,1.111
Aug-95,1.123
Jul-95,1.154
Jun-95,1.192
May-95,1.178
Apr-95,1.111
Mar-95,1.072
Feb-95,1.073
Jan-95,1.082
Dec-94,1.091
Nov-94,1.116
Oct-94,1.114
Sep-94,1.144
Aug-94,1.155
Jul-94,1.106
Jun-94,1.078
May-94,1.047
Apr-94,1.027
Mar-94,1.008
Feb-94,1.009
Jan-94,0.998
Dec-93,1.014
Nov-93,1.066
Oct-93,1.092
Sep-93,1.05
Aug-93,1.062
Jul-93,1.078
Jun-93,1.097
May-93,1.1
Apr-93,1.078
Mar-93,1.052
Feb-93,1.054
Jan-93,1.062
Dec-92,1.078
Nov-92,1.111
Oct-92,1.114
Sep-92,1.122
Aug-92,1.122
Jul-92,1.137
Jun-92,1.145
May-92,1.107
Apr-92,1.052
Mar-92,1.013
Feb-92,1.006
Jan-92,1.022
Dec-91,1.076
Nov-91,1.099
Oct-91,1.088
Sep-91,1.109
Aug-91,1.115
Jul-91,1.096
Jun-91,1.128
May-91,1.126
Apr-91,1.076
Mar-91,1.04
Feb-91,1.094
Jan-91,
Dec-90,
Nov-90,1.324
Oct-90,1.335
Sep-90,1.258
