Year,Month,Gas_Production(Mmcf),Gas_Consumption(Mmcf),Import_price($/Mcf),Export_price($/Mcf),Total Imports (Mmcf),Total Exports (Mmcf),all_grades($/Gallon),regular($/Gallon),midgrade($/Gallon),premium($/Gallon),diesel($/Gallon),Volumn(Mmcf)
2022,2,2856356,3040029.0,5.62,8.22,259389,545563,3.611,3.517,3.939,4.21,4.032,5997164.0
2022,1,3180818,3591557.0,6.87,7.04,296179,610102,3.413,3.315,3.766,4.036,3.724,6653327.0
2021,12,3266272,2979653.0,4.74,7.4,252626,620886,3.406,3.307,3.771,4.034,3.641,7647859.0
2021,11,3161306,2659971.0,5.18,8.1,242405,556982,3.491,3.395,3.836,4.098,3.727,7971480.0
2021,10,3219612,2237715.0,4.79,7.97,228203,545055,3.384,3.291,3.723,3.979,3.612,8103211.0
2021,9,3049920,2110187.0,4.07,6.7,220206,535583,3.272,3.175,3.626,3.877,3.384,7742741.0
2021,8,3172847,2410935.0,3.52,6.06,220959,563572,3.255,3.158,3.613,3.865,3.35,7352117.0
2021,7,3150909,2387996.0,3.41,5.64,227779,566046,3.231,3.136,3.577,3.823,3.339,7188708.0
2021,6,3036055,2214929.0,2.83,4.92,207859,539165,3.157,3.064,3.491,3.744,3.287,7019066.0
2021,5,3130208,2093777.0,2.7,4.89,204890,578056,3.076,2.985,3.402,3.652,3.217,6771262.0
2021,4,3035804,2238454.0,2.44,4.46,208369,564333,2.948,2.858,3.267,3.519,3.13,6354526.0
2021,3,3091762,2615634.0,2.66,4.71,238724,595411,2.898,2.81,3.198,3.454,3.152,6188955.0
2021,2,2586408,3041816.0,5.63,12.68,271877,424004,2.587,2.501,2.884,3.14,2.847,6247984.0
2021,1,3110352,3292364.0,2.86,4.62,284065,563515,2.42,2.334,2.719,2.975,2.681,7029355.0
2020,12,3088701,3167833.0,2.89,4.84,266618,553176,2.284,2.195,2.596,2.85,2.585,7735441.0
2020,11,2984528,2434877.0,2.79,4.77,211736,528210,2.2,2.108,2.529,2.782,2.432,8325457.0
2020,10,2991827,2320028.0,2.17,3.85,199306,481621,2.248,2.158,2.572,2.822,2.389,8321354.0
2020,9,2917569,2171842.0,2.02,3.49,174225,395424,2.274,2.183,2.597,2.848,2.414,8228769.0
2020,8,3011580,2401321.0,1.9,3.28,211352,359159,2.272,2.182,2.593,2.842,2.429,7911918.0
2020,7,3021331,2489307.0,1.73,2.9,210419,349167,2.272,2.183,2.582,2.834,2.434,7683812.0
2020,6,2873001,2130675.0,1.57,2.99,187478,338486,2.17,2.082,2.479,2.731,2.408,7522519.0
2020,5,2927037,2067048.0,1.68,3.61,186518,395472,1.961,1.87,2.282,2.542,2.392,7164234.0
2020,4,3011842,2240544.0,1.51,3.21,190049,420767,1.938,1.841,2.302,2.549,2.493,6716451.0
2020,3,3196236,2707481.0,1.71,3.3,213231,497437,2.329,2.234,2.676,2.924,2.729,6408672.0
2020,2,2984616,3041481.0,2.16,3.51,238328,454245,2.533,2.442,2.856,3.108,2.91,6460075.0
2020,1,3194177,3299777.0,2.91,3.74,262080,510444,2.636,2.548,2.947,3.192,3.048,6996576.0
2019,12,3234746,3170717.0,3.23,3.89,256053,481757,2.645,2.555,2.969,3.217,3.055,7567872.0
2019,11,3133926,2783754.0,2.8,4.03,223765,441944,2.693,2.598,3.046,3.297,3.069,7990012.0
2019,10,3186150,2306544.0,2.15,3.55,210537,425775,2.724,2.627,3.079,3.335,3.053,8140781.0
2019,9,3056535,2206252.0,1.65,3.56,208286,394511,2.681,2.592,2.998,3.251,3.016,7793013.0
2019,8,3146384,2433924.0,1.73,3.23,220076,384983,2.707,2.621,3.005,3.261,3.005,7374445.0
2019,7,3071698,2393904.0,1.86,3.47,230407,393400,2.823,2.74,3.11,3.362,3.045,7088570.0
2019,6,2956304,2119341.0,1.54,3.18,201163,360226,2.804,2.716,3.115,3.364,3.089,6835476.0
2019,5,3046445,2133985.0,1.81,3.51,207651,368568,2.946,2.859,3.25,3.505,3.161,6403000.0
2019,4,2925844,2212386.0,2.14,3.32,206559,338213,2.881,2.798,3.165,3.417,3.121,5926851.0
2019,3,3008808,2927812.0,3.79,3.68,252989,373539,2.594,2.516,2.854,3.107,3.076,5545463.0
2019,2,2705249,3019120.0,4.06,3.76,233344,329954,2.393,2.309,2.682,2.936,2.997,5792097.0
2019,1,2974830,3424302.0,4.3,4.39,290886,364787,2.338,2.248,2.658,2.904,2.98,6360109.0
2018,12,2975914,2999510.0,4.89,5.22,257148,363806,2.457,2.366,2.793,3.03,3.123,7068849.0
2018,11,2894098,2715942.0,4.1,4.46,212486,337789,2.736,2.647,3.055,3.294,3.3,7386391.0
2018,10,2939250,2285854.0,2.61,3.76,215128,306653,2.943,2.86,3.23,3.472,3.365,7592871.0
2018,9,2808817,2156063.0,2.09,3.47,214074,301742,2.915,2.836,3.187,3.428,3.262,7306139.0
2018,8,2855600,2313836.0,2.22,3.78,237025,311449,2.914,2.836,3.181,3.421,3.218,6971846.0
2018,7,2799146,2350719.0,2.16,3.72,247012,305997,2.928,2.849,3.196,3.441,3.233,6735506.0
2018,6,2655954,2063144.0,1.87,3.43,228469,261995,2.97,2.891,3.241,3.48,3.253,6549065.0
2018,5,2730667,2055019.0,1.73,3.7,227168,272116,2.987,2.901,3.221,3.46,3.244,6199145.0
2018,4,2612541,2350481.0,2.2,3.46,242264,278941,2.873,2.757,3.035,3.268,3.096,5777258.0
2018,3,2704217,2796708.0,2.45,3.37,270762,291468,2.709,2.591,2.874,3.109,2.988,5743374.0
2018,2,2414348,2710719.0,3.02,3.93,237417,275652,2.705,2.587,2.869,3.106,3.046,6029758.0
2018,1,2618315,3340935.0,4.41,3.97,299891,300234,2.671,2.555,2.832,3.07,3.018,6497521.0
2017,12,2662670,3086015.0,3.27,3.68,274478,300138,2.594,2.477,2.755,2.992,2.909,7392391.0
2017,11,2558771,2357258.0,2.53,3.54,240314,287727,2.678,2.564,2.837,3.067,2.909,8062349.0
2017,10,2564255,2031510.0,2.06,3.37,241338,279775,2.621,2.505,2.779,3.019,2.794,8170238.0
2017,9,2438213,1920466.0,2.12,3.3,229444,248916,2.761,2.645,2.916,3.161,2.785,7922712.0
2017,8,2476180,2093773.0,2.38,3.27,247888,247302,2.494,2.38,2.649,2.884,2.595,7605198.0
2017,7,2477573,2141595.0,2.4,3.37,250508,248801,2.414,2.3,2.572,2.805,2.496,7409892.0
2017,6,2373176,1910441.0,2.62,3.41,239805,253322,2.46,2.347,2.617,2.849,2.511,7260702.0
2017,5,2428739,1892010.0,2.7,3.57,244353,248867,2.503,2.391,2.654,2.885,2.56,7011244.0
2017,4,2350432,1932042.0,2.64,3.65,238279,242424,2.528,2.417,2.676,2.907,2.583,6670165.0
2017,3,2425799,2523331.0,2.68,3.21,280567,273345,2.437,2.325,2.59,2.819,2.554,6440293.0
2017,2,2142588,2340217.0,3.14,3.8,254597,253227,2.416,2.304,2.565,2.8,2.568,6714640.0
2017,1,2339431,2913823.0,3.74,4.26,291656,269960,2.458,2.349,2.599,2.839,2.58,7000061.0
2016,12,2357556,2866273.0,3.5,3.82,280791,250836,2.366,2.254,2.512,2.751,2.51,7676680.0
2016,11,2307494,2159445.0,2.7,3.0,231044,227919,2.295,2.182,2.45,2.685,2.439,8349053.0
2016,10,2364679,1925203.0,2.59,3.06,231449,176466,2.359,2.249,2.509,2.734,2.454,8384087.0
2016,9,2297402,1947752.0,2.47,3.16,238491,201986,2.327,2.219,2.472,2.698,2.394,8073906.0
2016,8,2389813,2208375.0,2.42,3.13,261983,214226,2.284,2.178,2.427,2.649,2.351,7810783.0
2016,7,2408915,2186616.0,2.35,3.02,265022,188682,2.345,2.239,2.488,2.708,2.405,7686988.0
2016,6,2312288,2000656.0,1.9,2.6,241885,183013,2.467,2.366,2.603,2.816,2.423,7554670.0
2016,5,2412475,1965799.0,1.55,2.15,248317,188274,2.371,2.268,2.51,2.724,2.315,7332475.0
2016,4,2361554,2083848.0,1.61,2.15,241317,177853,2.216,2.113,2.355,2.566,2.152,7009450.0
2016,3,2441976,2356298.0,1.73,2.04,240764,194915,2.071,1.969,2.21,2.421,2.09,6846761.0
2016,2,2310521,2652260.0,2.43,2.28,251775,162757,1.872,1.764,2.021,2.242,1.998,6903611.0
2016,1,2435375,3091695.0,2.8,2.54,273600,168521,2.057,1.949,2.207,2.424,2.143,7307245.0
2015,12,2434920,2588168.0,2.28,2.57,227257,161754,2.144,2.038,2.29,2.509,2.31,8038172.0
2015,11,2356237,2249140.0,2.4,2.63,218242,155739,2.26,2.158,2.398,2.611,2.467,8303177.0
2015,10,2445042,1987310.0,3.23,2.73,226286,158517,2.387,2.29,2.518,2.718,2.519,8316026.0
2015,9,2383531,1901337.0,2.75,2.92,208818,162573,2.462,2.365,2.595,2.79,2.505,7987290.0
2015,8,2447534,2052728.0,2.74,3.09,213875,144885,2.726,2.636,2.855,3.03,2.595,7614026.0
2015,7,2444753,2067714.0,2.66,3.06,216973,143820,2.88,2.794,3.002,3.172,2.788,7304710.0
2015,6,2358416,1899906.0,2.56,3.01,206273,138179,2.885,2.802,2.997,3.17,2.873,7021808.0
2015,5,2442713,1858149.0,2.52,2.95,204348,134274,2.802,2.718,2.924,3.087,2.888,6658247.0
2015,4,2398440,2007922.0,2.59,2.83,205120,130328,2.555,2.469,2.674,2.845,2.782,6162227.0
2015,3,2443119,2591329.0,3.9,3.41,257274,163967,2.546,2.464,2.662,2.829,2.897,5840840.0
2015,2,2196987,2925172.0,5.46,3.98,254230,144955,2.301,2.216,2.412,2.594,2.858,6033940.0
2015,1,2420352,3114982.0,4.75,3.78,279397,144522,2.208,2.116,2.331,2.525,2.997,6775582.0
2014,12,2410202,2679165.0,4.44,4.25,253736,136982,2.632,2.543,2.752,2.943,3.411,7506012.0
2014,11,2314517,2357521.0,3.97,4.44,227485,120861,2.997,2.912,3.107,3.29,3.647,7794338.0
2014,10,2407070,1912810.0,3.87,4.37,220858,115069,3.255,3.171,3.366,3.543,3.681,7954588.0
2014,9,2306544,1809291.0,4.24,4.41,201622,119891,3.484,3.406,3.586,3.755,3.792,7556106.0
2014,8,2384273,1933061.0,3.87,4.38,206554,115376,3.565,3.487,3.668,3.833,3.838,7134689.0
2014,7,2371359,1881017.0,4.77,4.74,201176,127301,3.688,3.611,3.789,3.955,3.884,6761254.0
2014,6,2247082,1745351.0,5.32,4.81,201655,119864,3.766,3.692,3.861,4.024,3.906,6363623.0
2014,5,2310058,1810222.0,4.6,5.01,206657,114105,3.75,3.673,3.852,4.017,3.943,5900837.0
2014,4,2247677,1961678.0,5.11,4.93,200669,121928,3.735,3.661,3.834,3.991,3.964,5423037.0
2014,3,2267138,2557890.0,8.12,8.2,234189,149508,3.606,3.533,3.698,3.86,4.001,5207298.0
2014,2,2033039,2741240.0,9.11,9.56,245422,138550,3.434,3.356,3.533,3.707,3.984,5560214.0
2014,1,2198795,3204129.0,7.15,5.82,295356,134807,3.392,3.313,3.492,3.671,3.893,6288361.0
2013,12,2177887,2920826.0,4.75,4.56,273181,117329,3.357,3.276,3.457,3.637,3.882,7255027.0
2013,11,2143606,2316909.0,3.77,4.15,218693,113682,3.322,3.243,3.423,3.597,3.839,7970919.0
2013,10,2192600,1866762.0,3.4,3.88,220430,122406,3.42,3.344,3.517,3.684,3.885,8181397.0
2013,9,2115463,1766973.0,3.49,3.88,243881,122421,3.604,3.532,3.692,3.855,3.961,7927601.0
2013,8,2191677,1927379.0,3.17,3.75,236248,130324,3.645,3.574,3.729,3.896,3.905,7574293.0
2013,7,2196404,1926330.0,3.41,3.94,236199,128612,3.661,3.591,3.746,3.904,3.866,7302175.0
2013,6,2084393,1742917.0,3.9,4.22,236690,133808,3.689,3.626,3.763,3.909,3.849,7027246.0
2013,5,2157048,1752469.0,3.94,4.38,234183,142071,3.675,3.615,3.75,3.888,3.87,6654641.0
2013,4,2094623,1967458.0,3.98,4.43,220608,125771,3.638,3.57,3.723,3.876,3.93,6236406.0
2013,3,2136856,2521108.0,3.84,4.05,248290,148544,3.779,3.711,3.863,4.016,4.068,6102195.0
2013,2,1935275,2567155.0,3.99,3.84,236875,133003,3.736,3.67,3.816,3.969,4.111,6483370.0
2013,1,2136400,2878785.0,4.14,3.9,278078,154442,3.391,3.319,3.479,3.644,3.909,7076700.0
2012,12,2152640,2503907.0,3.93,4.15,252066,158538,3.381,3.31,3.466,3.627,3.961,7785322.0
2012,11,2101833,2167841.0,4.03,3.96,233853,142299,3.521,3.452,3.605,3.764,4.0,8171574.0
2012,10,2168774,1901084.0,3.16,3.71,253402,139930,3.812,3.746,3.901,4.041,4.094,8294299.0
2012,9,2094289,1807208.0,2.67,3.0,257990,137374,3.91,3.849,3.984,4.124,4.12,8044851.0
2012,8,2151742,2008815.0,2.83,3.35,281350,139248,3.78,3.722,3.849,3.989,3.983,7753994.0
2012,7,2162384,2069773.0,2.78,3.05,281166,118367,3.498,3.439,3.569,3.705,3.721,7588106.0
2012,6,2039909,1868356.0,2.35,2.93,259732,125140,3.596,3.539,3.671,3.793,3.759,7453546.0
2012,5,2121367,1873835.0,2.29,2.79,259023,132979,3.791,3.732,3.868,3.995,3.979,7219444.0
2012,4,2044519,1953071.0,2.04,2.28,243018,123150,3.958,3.9,4.028,4.162,4.115,6936421.0
2012,3,2118693,2127761.0,2.36,2.74,265152,141164,3.907,3.852,3.977,4.101,4.127,6794584.0
2012,2,1974431,2500654.0,2.86,3.06,269906,130175,3.64,3.579,3.714,3.851,3.953,6758315.0
2012,1,2152698,2756180.0,3.27,3.66,281131,130464,3.44,3.38,3.512,3.651,3.833,7219136.0
2011,12,2134904,2541878.0,3.66,4.08,297733,134374,3.326,3.266,3.401,3.536,3.861,7763772.0
2011,11,2076152,2031872.0,3.58,4.24,248908,127599,3.443,3.384,3.52,3.649,3.962,8142609.0
2011,10,2118735,1744454.0,4.06,4.14,282159,109513,3.506,3.448,3.581,3.708,3.798,8105566.0
